,title,author_name,title_link,date
0,,,,
1,A bibliometric review of the Waqf literature,"Muneer M. Alshater, M. Kabir Hassan, Mamunur Rashid, Rashedul Hasan",https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-review-of-the-waqf-literature,Jun 2022
2,A note on COVID-19 instigated maximum drawdown in Islamic markets versus conventional counterparts,"M. Kabir Hassan, Md Iftekhar Hasan Chowdhury, Faruk Balli, Rashedul Hasan",https://pureportal.coventry.ac.uk/en/publications/a-note-on-covid-19-instigated-maximum-drawdown-in-islamic-markets,May 2022
3,Bank stock valuation theories: do they explain prices based on theories?,"Ken Yien Leong, Mohamed Ariff, Alireza Zarei, M. Ishaq Bhatti",https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the,1 Mar 2022
4,CEO Duality and Firm Performance: A Systematic Review and Research Agenda,Mei Yu,https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research,25 May 2022
5,CEO Financial Experience and Firms’ Earnings Management in M&A: the importance of Experience Specificity,"Thai Nguyen, Thang Nguyen, Panagiotis Andrikopoulos",https://pureportal.coventry.ac.uk/en/publications/ceo-financial-experience-and-firms-earnings-management-in-mampa-t,7 Mar 2022
6,CEO tenure and cost of debt,"Andrews Owusu, Frank Kwabi, Ernest Ezeani, Ruth Owusu-Mensah",https://pureportal.coventry.ac.uk/en/publications/ceo-tenure-and-cost-of-debt,Aug 2022
7,Cheating Behaviour among OPEC Member-States and Oil Price Fairness and Stability: An Empirical Analysis,"Masud Ibrahim, Kamil Omoteso",https://pureportal.coventry.ac.uk/en/publications/cheating-behaviour-among-opec-member-states-and-oil-price-fairnes,2022
8,Clinicians’ informal acquisition of accounting literacy in UK clinical commissioning groups,"John Ayuk Enombu, Pawan Adhikari",https://pureportal.coventry.ac.uk/en/publications/clinicians-informal-acquisition-of-accounting-literacy-in-uk-clin,22 Jun 2022
9,Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,"Ahmad Abras, Kelum Jayasinghe",https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina,10 May 2022
10,Corporate Governance and IFSB Standard-4: Evidence from Islamic Banks in Bangladesh,"Md. Harun Ur Rashid, Ruma Khanam, Hafij Ullah",https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-ifsb-standard-4-evidence-from-islamic-ba,18 Jan 2022
11,Corporate hedging and the cost of equity capital,"Hany Ahmed, Yilmaz Guney",https://pureportal.coventry.ac.uk/en/publications/corporate-hedging-and-the-cost-of-equity-capital,2022
12,Corporate Social Responsibility & Firm Efficiency: Evidence from Endogenous Cost Inefficiency Stochastic Frontier Analysis,"T. Van Binh, Abay Mulatu, Boying Xu",https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-amp-firm-efficiency-evidence-from,1 May 2022
13,Corporate Social Responsibility and Financial Performance of Product and Service-Based Firms Listed on London Stock Exchange,"Ibrahim Elmghaamez, Jesuleke Olarewaju",https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-and-financial-performance-of-prod,1 Apr 2022
14,Determinants of Informal Entrepreneurship in Africa,"Amanze Ejiogu, Obiora Okechukwu, Chibuzo Ejiogu, Andrews Owusu, Ogechi Adeola",https://pureportal.coventry.ac.uk/en/publications/determinants-of-informal-entrepreneurship-in-africa,2022
15,"Diffusion theory, transnational antecedents and International Standards on Auditing adoption around the world","Ibrahim Elmghaamez, Mohamed Elmagrhi",https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-transnational-antecedents-and-international-stan,Apr 2022
16,Dissecting the effect of family business exposure on entrepreneurial implementation intention,"Adah-Kole Emmanuel Onjewu, Mohamed Yacine Haddoud, Uchenna Tony-Okeke, Dongmei Cao, Witold Nowiński",https://pureportal.coventry.ac.uk/en/publications/dissecting-the-effect-of-family-business-exposure-on-entrepreneur,6 May 2022
17,Does Family ownership matter in dividend payout decision? Evidence from a family-firm dominated country,"Muhammad Shahin Miah, Mohammad Rakib Uddin Bhuiyan",https://pureportal.coventry.ac.uk/en/publications/does-family-ownership-matter-in-dividend-payout-decision-evidence,12 Apr 2022
18,Do Female Board Members Influence Corporate Social Responsibility Performance?,"Isaiah Oino, Jonathan Liu",https://pureportal.coventry.ac.uk/en/publications/do-female-board-members-influence-corporate-social-responsibility,Jul 2022
